"Standings
* with tiebreakers *",,,,Names,Score,Lobby,Game 1,Lobby,Game 2,Lobby,Game 3,Lobby,Game 4,Lobby,Game 5,Lobby,Game 6,# of Top 4's,# of Top 3's,# of Top 2's,# of 1st's,# of 8th's,Average Placement
1,gachagom,38,38.540,gachagom,38,a,1,a,4,E,2,C,1,A,7,A,1,5,4,4,3,0,2.67
2,GB Spartan,37,37.540,GB Spartan,37,c,2,c,4,B,1,B,3,B,1,A,6,5,4,3,2,0,2.83
3,Bossoskills,37,37.440,Bossoskills,37,e,1,e,5,C,1,C,6,A,2,A,2,4,4,4,2,0,2.83
4,invecTiv,35,35.430,invecTiv,35,a,5,a,1,A,4,B,1,A,1,A,7,4,3,3,3,0,3.17
5,Filup,34,34.540,Filup,34,c,3,c,5,C,2,A,3,A,4,A,3,5,4,1,0,0,3.33
6,VOIDS1N,34,34.530,VOIDS1N,34,b,2,d,1,A,2,A,4,B,7,A,4,5,3,3,1,0,3.33
7,taehlani,34,34.330,taehlani,34,b,5,b,1,A,5,A,1,B,3,A,5,3,3,2,2,0,3.33
8,RickyZigZag,30,30.430,RickyZigZag,30,c,1,c,3,C,6,B,2,B,4,A,8,4,3,2,1,1,4.00
9,Jason Shen,28,28.320,Jason Shen,28,d,1,d,5,B,4,C,5,B,2,,,3,2,2,1,0,3.40
10,poppinjung,27,27.420,poppinjung,27,e,4,a,2,C,4,C,2,A,6,,,4,2,2,0,0,3.60
11,pizonka,27,27.330,pizonka,27,e,5,e,2,E,3,A,5,A,3,,,3,3,1,0,0,3.60
12,papercheeze,26,26.330,papercheeze,26,d,3,d,2,D,3,B,6,B,5,,,3,3,1,0,0,3.80
13,Im Jack,25,25.320,Im Jack,25,b,7,b,2,A,1,C,4,B,6,,,3,2,2,1,0,4.00
14,Stellar Minhee,24,24.220,Stellar Minhee,24,e,3,e,1,B,5,B,7,A,5,,,2,2,1,1,0,4.20
15,Toce,22,22.320,Toce,22,a,2,e,3,E,6,B,4,A,8,,,3,2,1,0,1,4.60
16,elitesoldier21,21,21.220,elitesoldier21,21,a,3,a,5,D,1,A,7,B,8,,,2,2,1,1,1,4.80
17,dayleft,19,19.320,dayleft,19,c,4,c,8,A,3,A,2,,,,,3,2,1,0,1,4.25
18,Joe Bookmark,19,19.310,Joe Bookmark,19,b,1,b,4,D,4,A,8,,,,,3,1,1,1,1,4.25
19,Obbu,19,19.220,Obbu,19,d,6,b,7,E,1,C,3,,,,,2,2,1,1,0,4.25
20,kevyzhou,18,18.220,kevyzhou,18,c,8,c,1,B,2,C,7,,,,,2,2,2,1,1,4.50
21,Wololo323,18,18.220,Wololo323,18,d,2,b,8,D,2,A,6,,,,,2,2,2,0,1,4.50
22,AssBlasterMaster,18,18.110,AssBlasterMaster,18,d,5,d,3,E,5,B,5,,,,,1,1,0,0,0,4.50
23,Cool Guy Dom,14,14.200,Cool Guy Dom,14,a,6,e,4,E,4,C,8,,,,,2,0,0,0,1,5.50
24,WHALEOFPEACE,14,14.100,WHALEOFPEACE,14,d,4,b,5,C,5,B,8,,,,,1,0,0,0,1,5.50
25,OPS Appies,12,12.110,OPS Appies,12,c,5,c,2,D,8,,,,,,,1,1,1,0,1,5.00
26,DengJason,12,12.110,DengJason,12,c,6,c,6,B,3,,,,,,,1,1,0,0,0,5.00
27,Vesera,12,12.100,Vesera,12,b,6,d,4,D,5,,,,,,,1,0,0,0,0,5.00
28,inthecypher,11,11.110,inthecypher,11,e,2,a,7,A,7,,,,,,,1,1,1,0,0,5.33
29,dookyface,11,11.110,dookyface,11,b,3,b,6,B,7,,,,,,,1,1,0,0,0,5.33
30,DimDanSum,10,10.110,DimDanSum,10,a,7,a,3,E,7,,,,,,,1,1,0,0,0,5.67
31,Craz,10,10.110,Craz,10,d,8,b,3,B,6,,,,,,,1,1,0,0,1,5.67
32,Highrule,10,10.100,Highrule,10,a,4,e,6,C,7,,,,,,,1,0,0,0,0,5.67
33,Fares,9,9.110,Fares,9,b,8,d,7,C,3,,,,,,,1,1,0,0,1,6.00
34,ItsChandlerGG,9,9.100,ItsChandlerGG,9,b,4,d,8,A,6,,,,,,,1,0,0,0,1,6.00
35,PHI LIl Special,8,8.000,PHI LIl Special,8,d,7,d,6,D,6,,,,,,,0,0,0,0,0,6.33
36,DrownedGod,7,7.000,DrownedGod,7,e,6,a,6,C,8,,,,,,,0,0,0,0,1,6.67
37,koto_vt,6,6.000,koto_vt,6,e,7,e,7,D,7,,,,,,,0,0,0,0,0,7.00
38,Tetravoltex,5,5.000,Tetravoltex,5,c,7,c,7,E,8,,,,,,,0,0,0,0,1,7.33
39,MegaBassMan,3,3.000,MegaBassMan,3,e,8,a,8,A,8,,,,,,,0,0,0,0,3,8.00
40,Lotos,3,3.000,Lotos,3,a,8,e,8,B,8,,,,,,,0,0,0,0,3,8.00
41,,0,0.000,,0,f,,,,,,,,,,,,0,0,0,0,0,0.00
42,,0,0.000,,0,f,,,,,,,,,,,,0,0,0,0,0,0.00
43,,0,0.000,,0,f,,,,,,,,,,,,0,0,0,0,0,0.00
44,,0,0.000,,0,f,,,,,,,,,,,,0,0,0,0,0,0.00
45,,0,0.000,,0,f,,,,,,,,,,,,0,0,0,0,0,0.00
46,,0,0.000,,0,f,,,,,,,,,,,,0,0,0,0,0,0.00
47,,0,0.000,,0,f,,,,,,,,,,,,0,0,0,0,0,0.00
48,,0,0.000,,0,f,,,,,,,,,,,,0,0,0,0,0,0.00
49,,0,0.000,,0,g,,,,,,,,,,,,0,0,0,0,0,0.00
50,,0,0.000,,0,g,,,,,,,,,,,,0,0,0,0,0,0.00
51,,0,0.000,,0,g,,,,,,,,,,,,0,0,0,0,0,0.00
52,,0,0.000,,0,g,,,,,,,,,,,,0,0,0,0,0,0.00
53,,0,0.000,,0,g,,,,,,,,,,,,0,0,0,0,0,0.00
54,,0,0.000,,0,g,,,,,,,,,,,,0,0,0,0,0,0.00
55,,0,0.000,,0,g,,,,,,,,,,,,0,0,0,0,0,0.00
56,,0,0.000,,0,g,,,,,,,,,,,,0,0,0,0,0,0.00
57,,0,0.000,,0,h,,,,,,,,,,,,0,0,0,0,0,0.00
58,,0,0.000,,0,h,,,,,,,,,,,,0,0,0,0,0,0.00
59,,0,0.000,,0,h,,,,,,,,,,,,0,0,0,0,0,0.00
60,,0,0.000,,0,h,,,,,,,,,,,,0,0,0,0,0,0.00
61,,0,0.000,,0,h,,,,,,,,,,,,0,0,0,0,0,0.00
62,,0,0.000,,0,h,,,,,,,,,,,,0,0,0,0,0,0.00
63,,0,0.000,,0,h,,,,,,,,,,,,0,0,0,0,0,0.00
64,,0,0.000,,0,h,,,,,,,,,,,,0,0,0,0,0,0.00
65,,0,0.000,,0,i,,,,,,,,,,,,0,0,0,0,0,0.00
66,,0,0.000,,0,i,,,,,,,,,,,,0,0,0,0,0,0.00
67,,0,0.000,,0,i,,,,,,,,,,,,0,0,0,0,0,0.00
68,,0,0.000,,0,i,,,,,,,,,,,,0,0,0,0,0,0.00
69,,0,0.000,,0,i,,,,,,,,,,,,0,0,0,0,0,0.00
70,,0,0.000,,0,i,,,,,,,,,,,,0,0,0,0,0,0.00
71,,0,0.000,,0,i,,,,,,,,,,,,0,0,0,0,0,0.00
72,,0,0.000,,0,i,,,,,,,,,,,,0,0,0,0,0,0.00
73,,0,0.000,,0,j,,,,,,,,,,,,0,0,0,0,0,0.00
74,,0,0.000,,0,j,,,,,,,,,,,,0,0,0,0,0,0.00
75,,0,0.000,,0,j,,,,,,,,,,,,0,0,0,0,0,0.00
76,,0,0.000,,0,j,,,,,,,,,,,,0,0,0,0,0,0.00
77,,0,0.000,,0,j,,,,,,,,,,,,0,0,0,0,0,0.00
78,,0,0.000,,0,j,,,,,,,,,,,,0,0,0,0,0,0.00
79,,0,0.000,,0,j,,,,,,,,,,,,0,0,0,0,0,0.00
80,,0,0.000,,0,j,,,,,,,,,,,,0,0,0,0,0,0.00
81,,0,0.000,,0,k,,,,,,,,,,,,0,0,0,0,0,0.00
82,,0,0.000,,0,k,,,,,,,,,,,,0,0,0,0,0,0.00
83,,0,0.000,,0,k,,,,,,,,,,,,0,0,0,0,0,0.00
84,,0,0.000,,0,k,,,,,,,,,,,,0,0,0,0,0,0.00
85,,0,0.000,,0,k,,,,,,,,,,,,0,0,0,0,0,0.00
86,,0,0.000,,0,k,,,,,,,,,,,,0,0,0,0,0,0.00
87,,0,0.000,,0,k,,,,,,,,,,,,0,0,0,0,0,0.00
88,,0,0.000,,0,k,,,,,,,,,,,,0,0,0,0,0,0.00
89,,0,0.000,,0,L,,,,,,,,,,,,0,0,0,0,0,0.00
90,,0,0.000,,0,L,,,,,,,,,,,,0,0,0,0,0,0.00
91,,0,0.000,,0,L,,,,,,,,,,,,0,0,0,0,0,0.00
92,,0,0.000,,0,L,,,,,,,,,,,,0,0,0,0,0,0.00
93,,0,0.000,,0,L,,,,,,,,,,,,0,0,0,0,0,0.00
94,,0,0.000,,0,L,,,,,,,,,,,,0,0,0,0,0,0.00
95,,0,0.000,,0,L,,,,,,,,,,,,0,0,0,0,0,0.00
96,,0,0.000,,0,L,,,,,,,,,,,,0,0,0,0,0,0.00
97,,0,0.000,,0,m,,,,,,,,,,,,0,0,0,0,0,0.00
98,,0,0.000,,0,m,,,,,,,,,,,,0,0,0,0,0,0.00
99,,0,0.000,,0,m,,,,,,,,,,,,0,0,0,0,0,0.00
100,,0,0.000,,0,m,,,,,,,,,,,,0,0,0,0,0,0.00
101,,0,0.000,,0,m,,,,,,,,,,,,0,0,0,0,0,0.00
102,,0,0.000,,0,m,,,,,,,,,,,,0,0,0,0,0,0.00
103,,0,0.000,,0,m,,,,,,,,,,,,0,0,0,0,0,0.00
104,,0,0.000,,0,m,,,,,,,,,,,,0,0,0,0,0,0.00
105,,0,0.000,,0,n,,,,,,,,,,,,0,0,0,0,0,0.00
106,,0,0.000,,0,n,,,,,,,,,,,,0,0,0,0,0,0.00
107,,0,0.000,,0,n,,,,,,,,,,,,0,0,0,0,0,0.00
108,,0,0.000,,0,n,,,,,,,,,,,,0,0,0,0,0,0.00
109,,0,0.000,,0,n,,,,,,,,,,,,0,0,0,0,0,0.00
110,,0,0.000,,0,n,,,,,,,,,,,,0,0,0,0,0,0.00
111,,0,0.000,,0,n,,,,,,,,,,,,0,0,0,0,0,0.00
112,,0,0.000,,0,n,,,,,,,,,,,,0,0,0,0,0,0.00
113,,0,0.000,,0,o,,,,,,,,,,,,0,0,0,0,0,0.00
114,,0,0.000,,0,o,,,,,,,,,,,,0,0,0,0,0,0.00
115,,0,0.000,,0,o,,,,,,,,,,,,0,0,0,0,0,0.00
116,,0,0.000,,0,o,,,,,,,,,,,,0,0,0,0,0,0.00
117,,0,0.000,,0,o,,,,,,,,,,,,0,0,0,0,0,0.00
118,,0,0.000,,0,o,,,,,,,,,,,,0,0,0,0,0,0.00
119,,0,0.000,,0,o,,,,,,,,,,,,0,0,0,0,0,0.00
120,,0,0.000,,0,o,,,,,,,,,,,,0,0,0,0,0,0.00
121,,0,0.000,,0,p,,,,,,,,,,,,0,0,0,0,0,0.00
122,,0,0.000,,0,p,,,,,,,,,,,,0,0,0,0,0,0.00
123,,0,0.000,,0,p,,,,,,,,,,,,0,0,0,0,0,0.00
124,,0,0.000,,0,p,,,,,,,,,,,,0,0,0,0,0,0.00
