"Standings
* with tiebreakers *",Names,Score,Lobby,Game 1,Lobby.1,Game 2,Lobby.2,Game 3,Lobby.3,Game 4,Lobby.4,Game 5,Lobby.5,Game 6,# of Top 4's,# of Top 3's,# of Top 2's,# of 1st's,# of 8th's,Average Placement
1,gachagom,38,a,1.0,a,4.0,E,2.0,C,1.0,A,7.0,A,1.0,5,4,4,3,0,2.67
2,GB Spartan,37,c,2.0,c,4.0,B,1.0,B,3.0,B,1.0,A,6.0,5,4,3,2,0,2.83
3,Bossoskills,37,e,1.0,e,5.0,C,1.0,C,6.0,A,2.0,A,2.0,4,4,4,2,0,2.83
4,invecTiv,35,a,5.0,a,1.0,A,4.0,B,1.0,A,1.0,A,7.0,4,3,3,3,0,3.17
5,Filup,34,c,3.0,c,5.0,C,2.0,A,3.0,A,4.0,A,3.0,5,4,1,0,0,3.33
6,VOIDS1N,34,b,2.0,d,1.0,A,2.0,A,4.0,B,7.0,A,4.0,5,3,3,1,0,3.33
7,taehlani,34,b,5.0,b,1.0,A,5.0,A,1.0,B,3.0,A,5.0,3,3,2,2,0,3.33
8,RickyZigZag,30,c,1.0,c,3.0,C,6.0,B,2.0,B,4.0,A,8.0,4,3,2,1,1,4.0
9,Jason Shen,28,d,1.0,d,5.0,B,4.0,C,5.0,B,2.0,,,3,2,2,1,0,3.4
10,poppinjung,27,e,4.0,a,2.0,C,4.0,C,2.0,A,6.0,,,4,2,2,0,0,3.6
11,pizonka,27,e,5.0,e,2.0,E,3.0,A,5.0,A,3.0,,,3,3,1,0,0,3.6
12,papercheeze,26,d,3.0,d,2.0,D,3.0,B,6.0,B,5.0,,,3,3,1,0,0,3.8
13,Im Jack,25,b,7.0,b,2.0,A,1.0,C,4.0,B,6.0,,,3,2,2,1,0,4.0
14,Stellar Minhee,24,e,3.0,e,1.0,B,5.0,B,7.0,A,5.0,,,2,2,1,1,0,4.2
15,Toce,22,a,2.0,e,3.0,E,6.0,B,4.0,A,8.0,,,3,2,1,0,1,4.6
16,elitesoldier21,21,a,3.0,a,5.0,D,1.0,A,7.0,B,8.0,,,2,2,1,1,1,4.8
17,dayleft,19,c,4.0,c,8.0,A,3.0,A,2.0,,,,,3,2,1,0,1,4.25
18,Joe Bookmark,19,b,1.0,b,4.0,D,4.0,A,8.0,,,,,3,1,1,1,1,4.25
19,Obbu,19,d,6.0,b,7.0,E,1.0,C,3.0,,,,,2,2,1,1,0,4.25
20,kevyzhou,18,c,8.0,c,1.0,B,2.0,C,7.0,,,,,2,2,2,1,1,4.5
21,Wololo323,18,d,2.0,b,8.0,D,2.0,A,6.0,,,,,2,2,2,0,1,4.5
22,AssBlasterMaster,18,d,5.0,d,3.0,E,5.0,B,5.0,,,,,1,1,0,0,0,4.5
23,Cool Guy Dom,14,a,6.0,e,4.0,E,4.0,C,8.0,,,,,2,0,0,0,1,5.5
24,WHALEOFPEACE,14,d,4.0,b,5.0,C,5.0,B,8.0,,,,,1,0,0,0,1,5.5
25,OPS Appies,12,c,5.0,c,2.0,D,8.0,,,,,,,1,1,1,0,1,5.0
26,DengJason,12,c,6.0,c,6.0,B,3.0,,,,,,,1,1,0,0,0,5.0
27,Vesera,12,b,6.0,d,4.0,D,5.0,,,,,,,1,0,0,0,0,5.0
28,in the cypher,11,e,2.0,a,7.0,A,7.0,,,,,,,1,1,1,0,0,5.33
29,dookyface,11,b,3.0,b,6.0,B,7.0,,,,,,,1,1,0,0,0,5.33
30,DimDanSum,10,a,7.0,a,3.0,E,7.0,,,,,,,1,1,0,0,0,5.67
31,Craz,10,d,8.0,b,3.0,B,6.0,,,,,,,1,1,0,0,1,5.67
32,Highrule,10,a,4.0,e,6.0,C,7.0,,,,,,,1,0,0,0,0,5.67
33,Fares,9,b,8.0,d,7.0,C,3.0,,,,,,,1,1,0,0,1,6.0
34,ItsChandlerGG,9,b,4.0,d,8.0,A,6.0,,,,,,,1,0,0,0,1,6.0
35,phi lii special,8,d,7.0,d,6.0,D,6.0,,,,,,,0,0,0,0,0,6.33
36,DrownedGod,7,e,6.0,a,6.0,C,8.0,,,,,,,0,0,0,0,1,6.67
37,koto vt,6,e,7.0,e,7.0,D,7.0,,,,,,,0,0,0,0,0,7.0
38,Tetravoltex,5,c,7.0,c,7.0,E,8.0,,,,,,,0,0,0,0,1,7.33
39,MegaBassMan,3,e,8.0,a,8.0,A,8.0,,,,,,,0,0,0,0,3,8.0
40,Lotos,3,a,8.0,e,8.0,B,8.0,,,,,,,0,0,0,0,3,8.0
